# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 4.775155639648437500e+01 7.333442568778991699e-02 5.035315704345703125e+01 7.333442568778991699e-02 1.192855715751647949e+00
1.000000000000000000e+03 2.832680474966764450e-04 4.790517778019420803e-07 4.574412887450307608e-04 4.790517778019420803e-07 8.273660787381231785e-04
2.000000000000000000e+03 1.646918826736509800e-05 2.460099013390504297e-09 7.686845492571592331e-05 2.460099013390504297e-09 6.394024239853024483e-05
3.000000000000000000e+03 4.373569754534401000e-05 4.274334060028195381e-06 5.052428241469897330e-05 4.274334060028195381e-06 2.183201955631375313e-03
4.000000000000000000e+03 1.001824443846999202e-06 6.174488920152043647e-09 3.125489456579089165e-05 6.174488920152043647e-09 1.652802893659099936e-04
5.000000000000000000e+03 2.548116608522832394e-04 2.551230500102974474e-05 3.035117697436362505e-04 2.551230500102974474e-05 4.920858424156904221e-03
6.000000000000000000e+03 6.364070031850133091e-06 8.628604746263590641e-07 4.356753561296500266e-05 8.628604746263590641e-07 1.032945001497864723e-03
7.000000000000000000e+03 8.088168215181212872e-06 2.821404905262170359e-07 2.533612678234931082e-05 2.821404905262170359e-07 3.553131828084588051e-04
8.000000000000000000e+03 9.549908281769603491e-05 1.543411053717136383e-05 1.583907724125310779e-04 1.543411053717136383e-05 4.313725046813488007e-03
9.000000000000000000e+03 2.655565594977815636e-06 3.098196899031790963e-08 3.639499482233077288e-05 3.098196899031790963e-08 2.527450560592114925e-04
1.000000000000000000e+04 1.822859630919992924e-04 1.779420927050523460e-05 2.487612364348024130e-04 1.779420927050523460e-05 3.406028496101498604e-03
